City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Fortuna,US,2021-02-02 21:38:18,40.5982,-124.1573,55.0,71,20,8.05
258,San Policarpo,PH,2021-02-02 21:38:19,12.1791,125.5072,80.31,83,96,15.95
259,Alofi,NU,2021-02-02 21:38:19,-19.0595,-169.9187,82.4,83,75,10.36
260,Broken Hill,AU,2021-02-02 21:38:19,-31.95,141.4333,59.0,47,0,5.75
261,Kudahuvadhoo,MV,2021-02-02 21:38:20,2.6708,72.8944,82.27,73,99,11.65
262,Adrar,MR,2021-02-02 21:38:20,20.5022,-10.0711,71.98,21,93,8.95
263,Cherskiy,RU,2021-02-02 21:38:21,68.75,161.3,-1.73,83,0,2.84
264,Ust-Kan,RU,2021-02-02 21:38:21,50.9276,84.761,15.04,91,1,5.17
265,Beaumont,US,2021-02-02 21:33:47,30.0861,-94.1019,64.4,27,1,4.16
266,Rogovatoye,RU,2021-02-02 21:38:22,51.23,38.3818,27.57,99,100,4.97
267,Naze,JP,2021-02-02 21:33:54,28.3667,129.4833,51.91,73,20,16.26
268,Basco,PH,2021-02-02 21:38:22,20.4487,121.9702,71.24,82,66,29.57
269,Whitehorse,CA,2021-02-02 21:38:23,60.7161,-135.0538,-9.0,64,20,6.91
270,Lagoa,PT,2021-02-02 21:38:23,39.05,-27.9833,55.96,62,30,37.74
271,Gulbarga,IN,2021-02-02 21:38:23,17.3333,76.8333,63.1,40,0,5.66
272,Shingu,JP,2021-02-02 21:35:15,33.7333,135.9833,35.04,80,0,7.78
273,Grindavik,IS,2021-02-02 21:38:24,63.8424,-22.4338,35.6,60,0,20.71
274,East London,ZA,2021-02-02 21:35:31,-33.0153,27.9116,70.48,78,90,15.3
275,Porto Walter,BR,2021-02-02 21:38:24,-8.2686,-72.7439,82.15,86,70,2.82
276,Lompoc,US,2021-02-02 21:38:24,34.6391,-120.4579,61.0,82,1,16.11
277,Nishihara,JP,2021-02-02 21:38:25,26.1842,127.7558,59.0,54,20,6.91
278,Flinders,AU,2021-02-02 21:38:25,-34.5833,150.8552,66.99,62,7,8.99
279,Praxedis Guerrero,MX,2021-02-02 21:38:25,31.3667,-106.0167,69.8,19,40,5.75
280,Tecpan,GT,2021-02-02 21:38:26,14.7623,-90.9947,75.0,40,0,18.41
281,Vostok,RU,2021-02-02 21:38:26,46.4856,135.8833,-28.82,85,100,6.15
282,Kenora,CA,2021-02-02 21:38:26,49.8167,-94.4337,23.0,80,75,12.66
283,Adamovka,RU,2021-02-02 21:38:27,51.5223,59.9396,33.19,94,100,15.88
284,Rawson,AR,2021-02-02 21:38:27,-43.3002,-65.1023,78.93,27,0,12.06
285,Aromashevo,RU,2021-02-02 21:38:27,56.8602,68.6375,33.73,97,100,15.41
286,San Lazaro,BZ,2021-02-02 21:38:29,18.0387,-88.6622,73.4,49,75,4.81
287,Bandarbeyla,SO,2021-02-02 21:38:29,9.4942,50.8122,72.77,71,11,14.76
288,Mawlaik,MM,2021-02-02 21:38:30,23.6333,94.4167,55.65,67,0,0.87
289,Surin,TH,2021-02-02 21:38:30,14.8818,103.4936,71.01,67,0,6.93
290,Guerrero Negro,MX,2021-02-02 21:38:30,27.9769,-114.0611,79.54,19,97,5.68
